uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category,event_info,event_member_org,event_source_org,event_distribution,event_threat_level_id,event_analysis,event_date,event_tag,event_timestamp
"164a67a7-d782-46cb-936c-8c4708588196",267,"Payload delivery","md5","9d1d68b548da3625f9ee524363f02892","",1,1552411647,"","","","","","2019-03-12: Gozi ISFB v214.070","VK-Intel","VK-Intel",3,"Medium",0,"2019-03-12","Banker: Gozi ISFB v2,10291029JSJUYNHG,version: 214070,Mar 3, 2019",1552411893
"5c87ecf5-1808-4def-b447-6e4168f8e8cf",267,"Network activity","url","sl3827uiiu.company","ISFB v214.070",1,1552411893,"","","","","","2019-03-12: Gozi ISFB v214.070","VK-Intel","VK-Intel",3,"Medium",0,"2019-03-12","Banker: Gozi ISFB v2,10291029JSJUYNHG,version: 214070,Mar 3, 2019",1552411893
"5c87ecf5-7798-4ee4-82c3-6e4168f8e8cf",267,"Network activity","url","wtate30jg.com","ISFB v214.070",1,1552411893,"","","","","","2019-03-12: Gozi ISFB v214.070","VK-Intel","VK-Intel",3,"Medium",0,"2019-03-12","Banker: Gozi ISFB v2,10291029JSJUYNHG,version: 214070,Mar 3, 2019",1552411893
"5c87ecf5-7c88-416c-bd0a-6e4168f8e8cf",267,"Network activity","url","cy8617w.band","ISFB v214.070",1,1552411893,"","","","","","2019-03-12: Gozi ISFB v214.070","VK-Intel","VK-Intel",3,"Medium",0,"2019-03-12","Banker: Gozi ISFB v2,10291029JSJUYNHG,version: 214070,Mar 3, 2019",1552411893
"5c87ecc4-45d8-4abb-a5ec-071468f8e8cf",267,"Payload delivery","malware-sample","2019-03-12-isfbv214070-loader-unpacked.vk.exe|9d1d68b548da3625f9ee524363f02892","",1,1552411844,"malware-sample","","5c87ecc4-43a0-4686-a24c-071468f8e8cf","file","file","2019-03-12: Gozi ISFB v214.070","VK-Intel","VK-Intel",3,"Medium",0,"2019-03-12","Banker: Gozi ISFB v2,10291029JSJUYNHG,version: 214070,Mar 3, 2019",1552411893
"5c87ecc4-8330-4ee2-be98-071468f8e8cf",267,"Payload delivery","filename","2019-03-12-isfbv214070-loader-unpacked.vk.exe","",0,1552411844,"filename","","5c87ecc4-43a0-4686-a24c-071468f8e8cf","file","file","2019-03-12: Gozi ISFB v214.070","VK-Intel","VK-Intel",3,"Medium",0,"2019-03-12","Banker: Gozi ISFB v2,10291029JSJUYNHG,version: 214070,Mar 3, 2019",1552411893
"5c87ecc4-18d8-4e37-9fb2-071468f8e8cf",267,"Payload delivery","md5","9d1d68b548da3625f9ee524363f02892","",1,1552411844,"md5","","5c87ecc4-43a0-4686-a24c-071468f8e8cf","file","file","2019-03-12: Gozi ISFB v214.070","VK-Intel","VK-Intel",3,"Medium",0,"2019-03-12","Banker: Gozi ISFB v2,10291029JSJUYNHG,version: 214070,Mar 3, 2019",1552411893
"5c87ecc4-8c84-4c52-8063-071468f8e8cf",267,"Payload delivery","sha1","7232556ba4e837fec55bffc2612a32ce35ee35d5","",1,1552411844,"sha1","","5c87ecc4-43a0-4686-a24c-071468f8e8cf","file","file","2019-03-12: Gozi ISFB v214.070","VK-Intel","VK-Intel",3,"Medium",0,"2019-03-12","Banker: Gozi ISFB v2,10291029JSJUYNHG,version: 214070,Mar 3, 2019",1552411893
"5c87ecc4-0350-4766-b4bd-071468f8e8cf",267,"Payload delivery","sha256","b0c8cd21f3641e55515b24b62da8fa2391803eca11619582413038a902cafc20","",1,1552411844,"sha256","","5c87ecc4-43a0-4686-a24c-071468f8e8cf","file","file","2019-03-12: Gozi ISFB v214.070","VK-Intel","VK-Intel",3,"Medium",0,"2019-03-12","Banker: Gozi ISFB v2,10291029JSJUYNHG,version: 214070,Mar 3, 2019",1552411893
"5c87ecc4-a7f4-46f7-8813-071468f8e8cf",267,"Other","size-in-bytes",44032,"",0,1552411844,"size-in-bytes","","5c87ecc4-43a0-4686-a24c-071468f8e8cf","file","file","2019-03-12: Gozi ISFB v214.070","VK-Intel","VK-Intel",3,"Medium",0,"2019-03-12","Banker: Gozi ISFB v2,10291029JSJUYNHG,version: 214070,Mar 3, 2019",1552411893

